puuid,user,tag,hs_percent,body_percent,leg_percent,s_damage_per_round,s_kd_ratio,s_hs_percent,s_win_percent,s_kast_percent,s_dd_round,s_acs,s_kad_ratio,s_kills_per_round,deaths_per_game,kills_per_game,assists_per_game,first_bloods_per_game,flawless_rounds_per_game,aces_per_game,smurf_label
a6e20b27-a320-5932-8718-4c2a94c228f7,donkdonktime,donk,22.0,74.0,4.0,154.1,1.14,20.3,47.5,75.5,18.0,233.5,1.62,0.8,15.45,17.55,7.491666666666666,1.175,0.725,0.025,suspicious
3433a371-ceb6-5264-a5e3-8fe36a7f4b6a,Im Daniel,123,16.1,77.0,6.9,121.2,0.9,17.9,54.6,72.4,-13.0,184.2,1.39,0.6,14.865622641509434,13.402754716981132,7.221622641509434,1.1229056603773586,1.0610943396226415,0.0,normal player
52587dd0-c398-5ad9-a0df-abbbebcb588c,TTV Mister PK14,999,30.0,65.6,4.0,153.0,1.01,26.4,49.8,68.2,5.0,234.0,1.29,0.8,16.747555555555554,16.965199999999996,4.6148,3.2904888888888886,0.7340888888888888,0.03319999999999999,suspicious
4dee9946-b6f4-551e-94a1-5edc04451b75,hadoken,filo,17.8,69.0,13.2,145.7,0.94,19.9,49.0,68.8,-4.0,222.0,1.24,0.8,16.61258064516129,15.632580645161289,4.943467741935484,3.0585483870967742,0.7033870967741935,0.023709677419354837,normal player
67fc4611-fa2c-5afd-934f-2cff624ecf8f,mcwingus,wingo,23.2,69.5,7.2,137.0,1.05,23.2,52.6,72.7,7.0,207.5,1.48,0.7,13.0448,13.7286,5.6282,1.1572,0.8416,0.0,suspicious
cc57b4d5-ad71-5384-8e68-b4bfb4575a1e,Tysonballer,pegE,32.4,62.5,5.1,140.7,1.04,31.5,54.2,66.9,-1.0,213.3,1.29,0.8,15.134307692307694,15.718000000000002,3.7940000000000005,2.876769230769231,0.5836923076923077,0.041692307692307695,normal player
5b4b0f65-a0f8-5068-9f07-ae7b1231a750,mew,613,17.7,74.9,7.4,133.4,0.98,18.0,49.1,72.8,-7.0,204.7,1.28,0.7,14.402666666666667,14.09351851851852,4.328074074074074,1.4366296296296297,0.6728518518518519,0.018185185185185186,normal player
7fdcd1bf-c6ad-54a4-9ce1-7f72f282b4b1,Fishy,Bass,20.6,72.5,6.9,139.7,0.98,22.2,49.6,70.4,-4.0,211.1,1.36,0.7,16.058,15.81,6.040571428571428,1.8422857142857143,0.6997142857142857,0.008857142857142857,normal player
048154c3-9ad2-587d-9f68-a95f92c610b9,MilosCabinet,7410,31.3,62.5,6.2,137.7,0.97,26.1,50.6,68.8,-4.0,211.5,1.25,0.7,15.727371069182388,15.24046540880503,4.385333333333333,3.0137232704402512,0.731949685534591,0.022276729559748423,normal player
d6687bfa-07d2-54bf-a3a7-3690beb0bdbb,QuoC,VGB,25.5,68.0,6.4,119.0,0.82,22.4,38.8,67.9,-23.0,180.2,1.23,0.6,14.997692307692306,12.304076923076922,6.207999999999999,1.261,0.582,0.014923076923076923,normal player
a6c0b5f4-6839-5ef6-a220-74c005f91ea2,pugdawg13,7358,23.2,73.5,3.3,134.2,0.96,26.2,52.5,71.2,-2.0,197.6,1.34,0.7,15.05,14.375,5.75,1.225,1.05,0.0,normal player
62dce3e5-6d8b-5a3d-9518-51b76d149968,NamesKD,8972,26.2,68.8,4.6,131.1,0.89,25.0,42.5,62.8,-15.0,200.0,1.06,0.7,16.808064516129033,14.92983870967742,2.920161290322581,3.317741935483871,0.7266129032258065,0.0,normal player
21ac22b5-7d5f-5a88-bec2-2d7d2a925751,香香软软小面包,qaq,24.9,69.3,5.8,134.9,0.9,24.1,40.7,70.9,-9.0,202.3,1.28,0.7,15.984000000000002,14.430000000000001,6.0680000000000005,1.7760000000000002,0.40700000000000003,0.037000000000000005,normal player
b3e09705-5bff-57a0-84cb-2cc1dbad6c28,Tsiao,3508,21.5,72.8,5.7,131.4,1.01,22.7,51.4,73.3,1.0,200.5,1.52,0.7,15.220111111111109,15.419999999999998,7.709999999999999,1.4848888888888887,0.6567777777777777,0.028555555555555553,normal player
9a963dda-1fd2-5645-82b6-2b18be1f0bbb,chaewonsleftsock,feet,19.3,73.7,7.0,142.3,0.93,19.6,34.8,65.5,3.0,209.0,1.3,0.7,15.094499999999998,14.006999999999998,5.654999999999999,1.8269999999999997,0.39149999999999996,0.0,normal player
0062c810-8fd6-5c0f-87d2-201d21084607,UFA69,6969,32.4,64.1,3.5,172.3,1.21,32.4,53.8,73.0,27.0,266.5,1.41,1.0,16.98542857142857,20.52085714285714,3.3817142857142852,3.2279999999999998,0.6917142857142856,0.0,most likely smurf
f33aae9b-457f-5330-a1d2-40119d1aa9f4,Polarlights,3180,20.5,72.4,7.0,147.1,0.9,20.9,55.9,71.6,-5.0,216.0,1.33,0.7,16.887684210526317,15.269526315789474,7.193447368421053,2.316907894736842,0.7723026315789474,0.02942105263157895,normal player
716beaad-8cf9-513f-9119-fcd4386e2173,dantes lulu,4090,23.2,71.6,5.2,128.2,0.92,27.3,52.6,68.2,-14.0,193.7,1.22,0.7,15.008533333333332,13.851333333333333,4.4184,1.6130666666666666,0.7363999999999999,0.0,normal player
7eba1e19-987e-5dfc-aea5-b69787e190a6,Komly ツ,12,23.7,70.1,6.2,138.0,0.86,23.0,53.1,65.9,-13.0,204.7,1.17,0.7,16.21592307692308,13.989807692307693,4.942384615384616,2.7366923076923078,0.7556538461538462,0.04084615384615385,suspicious
4a3baaa7-0966-5601-86e7-510ce50cf8bb,glorstonne,9728,16.0,72.7,11.2,124.8,0.82,16.8,45.2,68.0,-18.0,193.3,1.31,0.6,15.677263157894739,12.885964912280704,7.684000000000001,2.022105263157895,0.7136842105263159,0.00792982456140351,normal player
73abbb64-a08f-54e1-a930-75062b01f5db,lilypod,yurr,24.4,69.6,6.0,196.8,1.69,23.7,69.2,79.6,67.0,305.0,2.09,1.1,12.379111111111111,20.913777777777778,4.920888888888889,3.075555555555556,1.038,0.0768888888888889,most likely smurf
4c6a4d6e-109c-5c23-b8d1-2245fea8aabb,Syns,808,25.3,71.4,3.3,143.1,0.95,26.7,43.3,69.9,2.0,209.5,1.2,0.7,16.653846153846153,15.854461538461537,4.130153846153846,2.398153846153846,0.5995384615384615,0.0,normal player
cac892e6-c9af-5210-a15c-0dc953022de0,Luv,3045,19.1,74.5,6.4,144.8,0.84,18.3,44.0,67.2,-16.0,216.8,1.13,0.7,18.214166666666667,15.225833333333332,5.445,2.5391666666666666,0.7241666666666666,0.018333333333333333,normal player
63e0f0b1-7d47-56f7-b10a-375bea6aa55b,festive,jolly,25.0,67.9,7.1,168.0,1.2,27.3,44.4,73.3,28.0,254.7,1.55,0.9,15.601666666666665,18.69733333333333,5.549999999999999,2.4419999999999997,0.9126666666666665,0.03699999999999999,most likely smurf
bbf811f3-c667-53f8-ad44-5234ae88645d,adobo assailant,adobo,10.8,72.8,16.4,120.9,0.83,12.5,50.9,70.9,-14.0,180.0,1.22,0.6,15.408818181818184,12.828223776223778,6.011895104895106,1.3276713286713289,0.7901958041958043,0.01423776223776224,normal player
24c2cacc-e2bb-512a-b40f-48b612930647,Jeremy Lin,AZN,22.9,69.5,7.5,147.3,0.89,24.1,45.4,67.5,-12.0,226.5,1.15,0.7,17.483632653061225,15.51938775510204,4.669714285714286,3.641265306122449,0.6207755102040816,0.027795918367346937,normal player
e9e724de-a6c3-5040-83c2-1346db79cdb1,code0515F1191,3549,29.2,66.1,4.8,149.6,1.08,31.9,51.2,72.2,13.0,222.1,1.53,0.8,14.790193548387096,16.028903225806452,6.606451612903226,1.7589677419354839,0.776258064516129,0.016516129032258065,normal player
8c5091b6-e563-57e2-80db-fb55aa834d43,WHO YOU CHALLIN,hello,36.1,57.1,6.8,147.6,1.0,38.1,37.1,67.5,1.0,222.4,1.21,0.8,16.470151515151514,16.48139393939394,3.473909090909091,2.9342727272727274,0.7644848484848485,0.04496969696969697,normal player
59c58893-32b4-5f96-83ce-2d38303ea75d,IronaimIronmind,NA333,17.7,75.1,7.2,144.4,1.07,18.1,52.6,73.2,6.0,217.7,1.44,0.8,14.8858,15.8852,5.523,1.3676,0.9731,0.0,suspicious
a358eb56-37e2-50a5-83d1-19fa1e4fdf67,MzKz,NA1,14.0,74.9,11.0,143.2,0.98,16.7,49.6,67.9,-3.0,217.7,1.32,0.7,15.76516923076923,15.482830769230768,5.333907692307692,2.6249846153846152,0.7401846153846153,0.02289230769230769,normal player
a3945972-3f76-574a-800a-416ebe60bc3c,meotras,0,16.8,72.4,10.8,108.8,0.75,18.0,39.5,68.4,-28.0,162.6,1.18,0.5,14.55328125,10.899531249999999,6.319999999999999,0.9134374999999999,0.62953125,0.012343749999999999,normal player
d18a6eb6-e29f-510f-8b5e-ef50bef0c1d6,boxhot,710,21.0,73.4,5.6,142.4,1.01,22.4,42.4,67.5,-11.0,217.4,1.33,0.8,16.959999999999997,17.11142857142857,5.421142857142856,2.1199999999999997,0.6965714285714284,0.0,normal player
2d46422b-58fe-56ba-99c7-2bcff5e1873d,hyunemoroll,soop,29.5,66.6,3.9,133.7,1.08,28.3,49.4,72.8,-1.0,205.0,1.5,0.7,13.8814,14.95585,5.91565,1.451125,0.72865,0.030875,normal player
d94257b1-3878-51d9-b3be-15f5a85533b9,OkSteeL,420,10.6,74.6,14.8,132.0,0.97,13.0,48.6,70.2,-5.0,203.0,1.28,0.7,15.524228571428573,15.052114285714287,4.790571428571429,1.4302285714285716,0.6942857142857144,0.0,normal player
8eff3db0-ea20-55a4-aec3-15a022fdb2d4,Limbo,2lucy,33.3,63.1,3.7,129.4,0.99,31.9,48.9,70.4,5.0,190.0,1.39,0.7,13.99551724137931,13.911206896551725,5.485793103448276,1.534448275862069,0.6801034482758621,0.016862068965517243,normal player
d2dc9e09-eb0a-5de0-a06e-15f97139dc1f,Saya,Soren,18.9,70.7,10.4,136.3,0.95,14.4,49.7,70.7,-8.0,209.0,1.35,0.7,15.327691489361703,14.50817021276596,6.159627659574468,2.7731542553191493,0.7349255319148936,0.01321808510638298,normal player
e7f415c2-e312-5033-af60-7baf7669bd6c,Kvarat,1112,26.1,67.2,6.7,137.0,1.04,26.0,39.6,67.9,-2.0,213.1,1.33,0.7,14.765142857142857,15.312,4.261714285714286,1.8857142857142857,0.49028571428571427,0.037714285714285714,normal player
f325c41c-92c0-5dda-88f5-8810005d8f9c,turtletimmy,2737,23.7,69.2,7.2,137.1,1.05,23.5,54.8,68.6,2.0,209.5,1.24,0.7,15.11835294117647,15.859764705882352,2.868941176470588,2.256470588235294,0.9348235294117646,0.06447058823529411,normal player
64d4e910-23ab-5e50-a8da-224fe1d90f96,DarthNemesis25,0,25.2,69.8,5.0,157.8,1.12,24.0,50.0,71.0,16.0,243.6,1.4,0.8,14.932203389830509,16.677966101694917,4.245762711864407,2.73728813559322,0.7627118644067796,0.05084745762711865,suspicious
c81a863d-dd3d-50a3-a315-fea0dfdb13f5,1990NISSAN240SX,noki,18.1,75.6,6.3,123.7,0.85,19.8,48.5,66.9,-18.0,188.4,1.23,0.6,15.09205882352941,12.823970588235293,5.67735294117647,2.0398529411764703,0.8273529411764705,0.08558823529411765,normal player
a39dbfd9-16b6-5eb4-b7e1-aae732402daf,Good Sumerian,geekd,31.7,64.9,3.4,146.6,1.06,26.4,49.3,70.1,11.0,223.3,1.36,0.8,15.395685714285712,16.30421428571428,4.613071428571428,2.6128999999999993,0.8521857142857141,0.04929999999999999,suspicious
0089fb11-7146-5300-aef0-7579984cc4b0,GothMommy,Viper,23.2,73.0,3.7,154.8,1.0,23.2,47.6,69.7,13.0,225.5,1.29,0.8,15.0892,15.0892,4.3316,1.8088,0.5712,0.0476,suspicious
003535d4-c1bd-5b99-848c-92a680a415c9,TiredVex,Hope,32.8,64.1,3.0,170.8,1.15,32.1,37.0,70.8,18.0,257.5,1.36,0.9,16.7055,19.128999999999998,3.589,3.8665,0.6104999999999999,0.074,most likely smurf
c0d73a9d-bb5e-5a67-a6d7-374e274e22c0,Mc13reezy,8482,12.9,75.1,11.9,143.3,1.05,14.2,44.4,73.8,4.0,220.2,1.52,0.8,14.457749999999999,15.206999999999999,6.7155,1.19325,0.63825,0.02775,normal player
8f55ca72-c60d-543d-85a4-40bc7e5c3f0b,HuTao,anime,17.8,74.9,7.3,130.2,0.84,17.5,44.8,66.6,-19.0,192.3,1.14,0.6,15.648,13.16,4.696,2.104,0.632,0.008,normal player
e0fefec1-62da-538e-bdd0-43168083447e,TiredHope,Vex,20.5,74.5,5.1,132.8,0.89,19.4,42.2,67.0,-13.0,197.0,1.15,0.7,15.791684210526316,14.059263157894737,4.1089473684210525,1.3770526315789473,0.4886315789473684,0.06663157894736842,normal player
e97501fd-c74c-5ad8-888d-bf63c4868fbc,GuardVandal,8456,33.1,63.5,3.5,124.1,0.79,30.3,47.5,67.0,-22.0,185.7,1.1,0.6,16.23482142857143,12.875892857142857,4.953571428571428,2.3071428571428574,0.6276785714285714,0.0,normal player
5fb2fb1a-c012-5c19-9c5d-13c48890effe,mr dinkles,clums,22.7,73.5,3.8,129.3,0.98,19.4,46.3,71.8,-1.0,195.0,1.31,0.7,14.352999999999998,14.054290322580643,4.7345483870967735,1.2545806451612902,0.7169032258064515,0.02240322580645161,normal player
d0aec28f-d9e1-5e86-9490-d1bba019bb44,DuckLego,3204,16.6,75.4,8.0,153.2,0.97,16.6,50.0,65.5,7.0,222.3,1.38,0.7,15.1,14.6,6.3,1.8,0.6,0.1,normal player
2d0a8d49-b638-56d6-9e6d-baa807160c05,Chai Connoisseur,2000,26.9,69.9,3.2,154.4,1.06,26.3,51.4,71.6,9.0,231.8,1.4,0.8,16.10533333333333,17.07622222222222,5.482666666666666,2.6271111111111107,0.6853333333333332,0.0,suspicious
6b125d2c-b21a-59bb-9b0a-a95e02c96093,wec1euyw907qtegc,AHAHH,27.0,64.5,8.5,115.0,0.8,25.5,44.4,67.5,-27.0,167.0,1.08,0.6,15.540000000000001,12.365400000000001,4.3512,1.0434,0.888,0.0222,normal player
75d49652-01ea-5873-bb7d-3ed021318496,jia,idk,23.2,73.4,3.4,141.9,1.03,23.9,45.3,72.1,5.0,210.5,1.36,0.7,14.95348514851485,15.37060396039604,4.89329702970297,1.7357524752475246,0.7131386138613861,0.01794059405940594,normal player
