puuid,user,tag,hs_percent,body_percent,leg_percent,s_damage_per_round,s_kd_ratio,s_hs_percent,s_win_percent,s_wins,s_kast_percent,s_dd_round,s_kills,s_deaths,s_assists,s_acs,s_kad_ratio,s_kills_per_round,s_first_bloods,s_flawless_rounds,s_aces
29523a8c-e5b5-550e-b270-4168f22687d9,Zonlie,9684,,,,,,,,,,,,,,,,,,,
a6e20b27-a320-5932-8718-4c2a94c228f7,donkdonktime,donk,22,74,4,154.1,1.14,20.3,47.5,57,75.5,18,2106,1854,899,233.5,1.62,0.8,141,87,3
16ff3e54-11dd-5ed7-8625-592d2aa70435,philolins,philo,,,,,,,,,,,,,,,,,,,
3433a371-ceb6-5264-a5e3-8fe36a7f4b6a,Im Daniel,123,16.1,77,6.9,121.2,0.9,17.9,54.6,53,72.4,-13,1301,1443,701,184.2,1.39,0.6,109,103,0
52587dd0-c398-5ad9-a0df-abbbebcb588c,TTV Mister PK14,999,30,65.6,4,153,1.01,26.4,49.8,135,68.2,5,4599,4540,1251,234,1.29,0.8,892,199,9
4dee9946-b6f4-551e-94a1-5edc04451b75,hadoken,filo,17.8,69,13.2,145.7,0.94,19.9,49,124,68.8,-4,3956,4204,1251,222,1.24,0.8,774,178,6
1b5f3648-d317-5f92-b74d-f8bfb994b87c,PLUTOSKI,4039,,,,,,,,,,,,,,,,,,,
8f48b131-9992-50b3-84e1-283483961f49,toad,yahuo,,,,,,,,,,,,,,,,,,,
67fc4611-fa2c-5afd-934f-2cff624ecf8f,mcwingus,wingo,23.2,69.5,7.2,137,1.05,23.2,52.6,10,72.7,7,261,248,107,207.5,1.48,0.7,22,16,0
cc57b4d5-ad71-5384-8e68-b4bfb4575a1e,Tysonballer,pegE,32.4,62.5,5.1,140.7,1.04,31.5,54.2,13,66.9,-1,377,363,91,213.3,1.29,0.8,69,14,1
5b4b0f65-a0f8-5068-9f07-ae7b1231a750,mew,613,17.7,74.9,7.4,133.4,0.98,18,49.1,27,72.8,-7,775,792,238,204.7,1.28,0.7,79,37,1
858a528d-80da-5968-a4ee-7332b9294588,Kyoumi,きょうみ,,,,,,,,,,,,,,,,,,,
7fdcd1bf-c6ad-54a4-9ce1-7f72f282b4b1,Fishy,Bass,20.6,72.5,6.9,139.7,0.98,22.2,49.6,56,70.4,-4,1785,1813,682,211.1,1.36,0.7,208,79,1
3322d127-3c06-52c2-a00b-01a03eaa5ba4,Jonas,1401,,,,,,,,,,,,,,,,,,,
048154c3-9ad2-587d-9f68-a95f92c610b9,MilosCabinet,7410,31.3,62.5,6.2,137.7,0.97,26.1,50.6,159,68.8,-4,4789,4942,1378,211.5,1.25,0.7,947,230,7
d6687bfa-07d2-54bf-a3a7-3690beb0bdbb,QuoC,VGB,25.5,68,6.4,119,0.82,22.4,38.8,52,67.9,-23,1649,2010,832,180.2,1.23,0.6,169,78,2
ea6329be-0e1f-516e-9309-c97183d8b1e7,Minami,1958,,,,,,,,,,,,,,,,,,,
616a0d65-d100-56ff-a336-2ca920f087c7,porky,p4k,,,,,,,,,,,,,,,,,,,
a6c0b5f4-6839-5ef6-a220-74c005f91ea2,pugdawg13,7358,23.2,73.5,3.3,134.2,0.96,26.2,52.5,21,71.2,-2,575,602,230,197.6,1.34,0.7,49,42,0
62dce3e5-6d8b-5a3d-9518-51b76d149968,NamesKD,8972,26.2,68.8,4.6,131.1,0.89,25,42.5,31,62.8,-15,1089,1226,213,200,1.06,0.7,242,53,0
fc27708e-884d-58c1-9d19-74a68b204d0d,faisla,2718,,,,,,,,,,,,,,,,,,,
21ac22b5-7d5f-5a88-bec2-2d7d2a925751,香香软软小面包,qaq,24.9,69.3,5.8,134.9,0.9,24.1,40.7,11,70.9,-9,390,432,164,202.3,1.28,0.7,48,11,1
ce98ec56-1ed5-521a-80dd-d0c304e54da2,立志成为天才少女的第n天,erer,,,,,,,,,,,,,,,,,,,
b3e09705-5bff-57a0-84cb-2cc1dbad6c28,Tsiao,3508,21.5,72.8,5.7,131.4,1.01,22.7,51.4,18,73.3,1,540,533,270,200.5,1.52,0.7,52,23,1
bc13fa8d-cbab-5221-8c56-e3d73694538a,b0bal0ver,7969,,,,,,,,,,,,,,,,,,,
ad0cff7b-0c69-5958-8bff-03e87b2e1851,Guava Citrus Air,5046,,,,,,,,,,,,,,,,,,,
9a963dda-1fd2-5645-82b6-2b18be1f0bbb,chaewonsleftsock,feet,19.3,73.7,7,142.3,0.93,19.6,34.8,8,65.5,3,322,347,130,209,1.3,0.7,42,9,0
8842158f-0c64-59b4-a6dd-f47054d1fd05,betty wap,1738,,,,,,,,,,,,,,,,,,,
0062c810-8fd6-5c0f-87d2-201d21084607,UFA69,6969,32.4,64.1,3.5,172.3,1.21,32.4,53.8,7,73,27,267,221,44,266.5,1.41,1,42,9,0
f33aae9b-457f-5330-a1d2-40119d1aa9f4,Polarlights,3180,20.5,72.4,7,147.1,0.9,20.9,55.9,76,71.6,-5,2076,2296,978,216,1.33,0.7,315,105,4
716beaad-8cf9-513f-9119-fcd4386e2173,dantes lulu,4090,23.2,71.6,5.2,128.2,0.92,27.3,52.6,30,68.2,-14,790,856,252,193.7,1.22,0.7,92,42,0
7eba1e19-987e-5dfc-aea5-b69787e190a6,Komly ツ,12,23.7,70.1,6.2,138,0.86,23,53.1,26,65.9,-13,685,794,242,204.7,1.17,0.7,134,37,2
4a3baaa7-0966-5601-86e7-510ce50cf8bb,glorstonne,9728,16,72.7,11.2,124.8,0.82,16.8,45.2,57,68,-18,1625,1977,969,193.3,1.31,0.6,255,90,1
73abbb64-a08f-54e1-a930-75062b01f5db,lilypod,yurr,24.4,69.6,6,196.8,1.69,23.7,69.2,18,79.6,67,544,322,128,305,2.09,1.1,80,27,2
4c6a4d6e-109c-5c23-b8d1-2245fea8aabb,Syns,808,25.3,71.4,3.3,143.1,0.95,26.7,43.3,13,69.9,2,476,500,124,209.5,1.2,0.7,72,18,0
cac892e6-c9af-5210-a15c-0dc953022de0,Luv,3045,19.1,74.5,6.4,144.8,0.84,18.3,44,48,67.2,-16,1661,1987,594,216.8,1.13,0.7,277,79,2
63e0f0b1-7d47-56f7-b10a-375bea6aa55b,festive,jolly,25,67.9,7.1,168,1.2,27.3,44.4,36,73.3,28,1516,1265,450,254.7,1.55,0.9,198,74,3
bbf811f3-c667-53f8-ad44-5234ae88645d,adobo assailant,adobo,10.8,72.8,16.4,120.9,0.83,12.5,50.9,143,70.9,-14,3604,4329,1689,180,1.22,0.6,373,222,4
24c2cacc-e2bb-512a-b40f-48b612930647,Jeremy Lin,AZN,22.9,69.5,7.5,147.3,0.89,24.1,45.4,49,67.5,-12,1675,1887,504,226.5,1.15,0.7,393,67,3
eabc827b-863d-5f79-ab75-94b1e6640e08,LSPD,7585,,,,,,,,,,,,,,,,,,,
e9e724de-a6c3-5040-83c2-1346db79cdb1,code0515F1191,3549,29.2,66.1,4.8,149.6,1.08,31.9,51.2,62,72.2,13,1941,1791,800,222.1,1.53,0.8,213,94,2
0cde6fe9-ad62-5373-bcd1-72d7fb621388,william enjoyer,pengl,,,,,,,,,,,,,,,,,,,
044abb94-8448-5e1d-a9a6-a98d52827e00,iNDiGO,202,,,,,,,,,,,,,,,,,,,
8c5091b6-e563-57e2-80db-fb55aa834d43,WHO YOU CHALLIN,hello,36.1,57.1,6.8,147.6,1,38.1,37.1,33,67.5,1,1466,1465,309,222.4,1.21,0.8,261,68,4
59c58893-32b4-5f96-83ce-2d38303ea75d,IronaimIronmind,NA333,17.7,75.1,7.2,144.4,1.07,18.1,52.6,20,73.2,6,604,566,210,217.7,1.44,0.8,52,37,0
fd954059-58b2-5ae8-b5d3-ff1ac5520b6b,Spicysalsa,Sash,,,,,,,,,,,,,,,,,,,
b0e51a57-cfe0-5b70-84aa-8d25fe9a7aae,BasedGodMau,NA1,,,,,,,,,,,,,,,,,,,
a358eb56-37e2-50a5-83d1-19fa1e4fdf67,MzKz,NA1,14,74.9,11,143.2,0.98,16.7,49.6,65,67.9,-3,2029,2066,699,217.7,1.32,0.7,344,97,3
a3945972-3f76-574a-800a-416ebe60bc3c,meotras,0,16.8,72.4,10.8,108.8,0.75,18,39.5,32,68.4,-28,883,1179,512,162.6,1.18,0.5,74,51,1
d18a6eb6-e29f-510f-8b5e-ef50bef0c1d6,boxhot,710,21,73.4,5.6,142.4,1.01,22.4,42.4,14,67.5,-11,565,560,179,217.4,1.33,0.8,70,23,0
c3f5b1a0-cfcb-536c-ba7f-859eca30b04a,koreanbbq,sunoo,,,,,,,,,,,,,,,,,,,
2d46422b-58fe-56ba-99c7-2bcff5e1873d,hyunemoroll,soop,29.5,66.6,3.9,133.7,1.08,28.3,49.4,80,72.8,-1,2422,2248,958,205,1.5,0.7,235,118,5
d94257b1-3878-51d9-b3be-15f5a85533b9,OkSteeL,420,10.6,74.6,14.8,132,0.97,13,48.6,35,70.2,-5,1084,1118,345,203,1.28,0.7,103,50,0
79db6ce4-491f-5f62-b336-9e596fa78a00,Juice,845,,,,,,,,,,,,,,,,,,,
79b3b7e5-493f-5a5a-88bf-76dc9356017b,Impact,RAT,,,,,,,,,,,,,,,,,,,
8eff3db0-ea20-55a4-aec3-15a022fdb2d4,Limbo,2lucy,33.3,63.1,3.7,129.4,0.99,31.9,48.9,87,70.4,5,2475,2490,976,190,1.39,0.7,273,121,3
c97ef757-9f07-5348-8711-ad6fc5aafca3,ABG 2,cac,,,,,,,,,,,,,,,,,,,
fd2a9156-9374-5545-8da1-f2692de187d9,philip,na10,,,,,,,,,,,,,,,,,,,
