puuid,user,tag,hs_percent,body_percent,leg_percent,s_damage_per_round,s_kd_ratio,s_hs_percent,s_win_percent,s_kast_percent,s_dd_round,s_acs,s_kad_ratio,s_kills_per_round,deaths_per_game,kills_per_game,assists_per_game,first_bloods_per_game,flawless_rounds_per_game,aces_per_game,smurf_label
003f1ca7-ce96-5bf1-b042-c0da89a3d653,alex g,aji,46.3,51.9,1.9,224.9,1.44,46.3,0.0,95.2,81.0,362.8,1.67,1.2,15.37329069767442,15.56213953488372,5.044116279069767,2.01281015037594,0.7458750000000001,0.0202020408163265,most likely smurf
4afa2ab1-5529-50d9-ad04-8d44dc1d55cb,moxy,goty,23.7,71.3,5.0,137.0,1.02,26.0,49.2,69.9,-3.0,209.6,1.3,0.7,14.972235294117649,15.216627450980392,4.315450980392157,2.373176470588235,0.7203137254901961,0.0064313725490196,normal player
d3aab4bc-545b-5ad4-82dc-e25f7d553298,smokeybear6969,7711,18.0,73.0,9.0,130.2,0.91,17.1,52.6,67.6,-29.0,202.1,1.26,0.7,15.448814814814815,14.046148148148148,5.493777777777778,2.292320987654321,0.6948395061728395,0.0389629629629629,normal player
93c877c0-5a06-5314-a80e-9475e623a4a2,SmashCrash,5959,15.4,78.2,6.4,136.6,0.83,14.5,53.6,71.9,-20.0,208.4,1.27,0.7,17.485189189189192,14.500972972972974,7.663351351351352,1.7094054054054055,0.8112432432432434,0.0144864864864864,normal player
8bebf40c-5c2e-5ebb-9242-37bccab2a7c8,SambarDaddy,2681,38.5,58.5,2.9,150.4,0.98,38.5,40.0,61.9,6.0,234.4,1.17,0.8,17.4,17.0,3.4,3.4,0.2,0.0,normal player
5d4266f6-b453-5a74-aa9f-b540cd41b4d1,Fishel Price,42069,10.4,78.4,11.2,139.8,0.89,10.4,50.0,66.0,-6.0,197.5,1.23,0.7,17.5,15.5,6.0,4.5,0.0,0.0,normal player
f799f915-7d6f-54da-99f3-bb74855a07a7,LFT rdawg,hello,24.5,69.5,6.0,127.7,0.89,24.5,66.7,67.1,-14.0,188.6,1.18,0.7,15.090875,13.423375,4.335500000000001,1.50075,0.667,0.0,normal player
4e76fd54-f9be-57fe-acbf-ced900cf6771,Deal,Green,15.1,78.2,6.7,132.8,0.94,20.5,50.7,70.0,-6.0,203.1,1.27,0.7,15.540958333333336,14.632583333333336,5.133375000000001,1.9435000000000004,0.7464166666666668,0.0070416666666666,normal player
16aa44aa-310d-5ace-a8cf-47fb8bcc427c,hyuga,momoi,21.0,71.2,7.7,119.2,0.78,21.2,46.2,65.7,-29.0,185.7,1.13,0.6,15.785000000000002,12.3585,5.4670000000000005,1.8865000000000005,0.4235,0.0,normal player
51dd48a0-c52d-5265-9939-f5296cce8fb0,noobgamer69,iron3,35.8,60.4,3.7,170.5,1.15,35.8,46.7,69.5,25.0,260.2,1.39,0.9,14.610428571428573,16.745285714285714,3.535857142857143,3.402428571428572,0.6671428571428571,0.0,most likely smurf
